State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Karnataka,Dharwad,2096774,19.77551020408163,2.4285714285714284,0.05728334023476876,0.003100647213561288,0.11151071016362926,0.495,1.9466516740576973
Tamil_Nadu,Salem,3962368,11.428571428571429,1.2857142857142858,0.06096056224275132,0.0,0.21365525318135423,0.46,3.5048110667115684
Punjab,Ludhiana,3978950,87.38775510204083,3.2857142857142856,0.09323642681412114,0.0025568604549790967,-0.05026042347805097,0.405,-0.5390642391117327
Tamil_Nadu,Vellore,4401028,9.877551020408163,0.5714285714285714,0.05495954230994144,0.0003216817064887175,0.002275337532014431,0.435,0.041400227083092954
Madhya_Pradesh,Bhopal,2973789,390.48979591836735,34.42857142857143,0.07483925246541652,0.0030400083844416173,0.09097112450550114,0.08,1.2155536233815165
Tamil_Nadu,Tiruvannamalai,2746014,113.65306122448979,10.571428571428571,0.04460231607151145,0.0006973034228777074,0.054519942095364246,0.08,1.2223567495452867
Uttar_Pradesh,Prayagraj,7047792,33.6530612244898,4.142857142857143,0.0956066923406742,0.005394027729817576,0.15793401859507908,0.44,1.651913843356432
Tamil_Nadu,Kanyakumari,2064474,24.122448979591834,1.4285714285714286,0.06473285809048092,0.0007400057882666403,0.10307825603687377,0.415,1.5923637404175055
Tamil_Nadu,Tirunelveli,3457579,143.9591836734694,13.0,0.07199751134382841,0.0007913319173647365,0.15351249928462637,0.495,2.1321917441217972
Karnataka,Davanagere,2095957,89.08163265306122,4.714285714285714,0.1031453787753429,0.0027909017653211317,0.1122684902783843,0.19,1.0884490571595273
Kerala,Malappuram,4607416,30.306122448979597,4.142857142857143,0.05231897731525914,0.0003105765794064385,0.1350308085084916,0.145,2.580914525428024
Uttar_Pradesh,Gorakhpur,5146869,19.3265306122449,4.857142857142857,0.054483854333909246,0.003095320451077383,0.20411042742761706,0.495,3.746255288341162
Uttar_Pradesh,Ghaziabad,6388981,61.816326530612244,6.571428571428571,0.07727109635434883,0.005520714015397811,0.025261125616156208,0.175,0.3269155843255291
Karnataka,Shivamogga,1858248,22.387755102040817,3.142857142857143,0.05443607463535606,0.00251301964093736,0.18474006565523404,0.41,3.3937065979266245
Odisha,Cuttack,2909014,28.591836734693874,5.142857142857143,0.09035880902436169,0.0011857411021854861,0.331684792718047,0.45,3.670752152439518
Uttar_Pradesh,Varanasi,4239659,45.22448979591837,7.571428571428571,0.06575786617444256,0.0032473019324880253,0.1351392869885308,0.165,2.055104504608363
Gujarat,Vadodara,4701190,236.57142857142858,24.571428571428573,0.06513588273834779,0.0006234836914534242,0.10152697682503142,0.495,1.558695031936044
Karnataka,Hassan,1827184,45.55102040816326,10.0,0.032188801491356424,0.0003970464039504159,0.24172053227501147,0.49,7.509460466862056
